filename,width,height,class,xmin,ymin,xmax,ymax
Fire_30.jpg,296,170,fire,145,61,246,167
Fire_30.jpg,296,170,fire,72,3,173,57
Fire_31.jpg,311,162,fire,7,34,125,156
Fire_31.jpg,311,162,fire,207,0,311,156
Fire_31.jpg,311,162,fire,126,80,202,156
Fire_33.jpg,275,183,fire,4,68,127,127
Fire_35.jpg,266,189,fire,100,61,140,120
Fire_35.jpg,266,189,fire,42,41,89,130
Fire_35.jpg,266,189,fire,15,69,41,125
Fire_36.jpg,299,168,fire,193,26,227,130
Fire_37.jpg,275,183,fire,111,3,244,122
Fire_38.jpg,276,182,fire,152,97,194,133
Fire_39.jpg,301,167,fire,67,3,157,130
Fire_39.jpg,301,167,fire,26,83,60,138
Fire_40.jpg,259,194,fire,92,8,153,146
Fire_41.jpg,259,195,fire,92,75,234,113
